metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1789880720,1.000000,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_duration,1789880720,204.001448,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_blocked,1789880720,0.005570,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_connecting,1789880720,0.000000,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_tls_handshaking,1789880720,0.000000,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_sending,1789880720,0.036690,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_waiting,1789880720,203.875647,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_receiving,1789880720,0.089111,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_failed,1789880720,0.000000,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
checks,1789880720,1.000000,booking did not 5xx,,,,,,,,booking_load,,,,,,,
data_sent,1789880720,267.000000,,,,,,,,,booking_load,,,,,,,
data_received,1789880720,539.000000,,,,,,,,,booking_load,,,,,,,
iteration_duration,1789880720,1406.861167,,,,,,,,,booking_load,,,,,,,
iterations,1789880720,1.000000,,,,,,,,,booking_load,,,,,,,
data_sent,1789880721,156.000000,,,,,,,,,search_traffic,,,,,,,
data_received,1789880721,12406.000000,,,,,,,,,search_traffic,,,,,,,
